record_id,brand_name,product_name,vendor,derived_niche,risk_flags,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,econ_score,signal,source,date,suggestions_total,branded_suggestions,commercial_modifiers,high_intent_modifiers,bing_demand_tier,branded_search_points,evidence,confidence
57,TonicGreens,TonicGreens,tonicgreens,health-supplement,SUPPLEMENT,84.62,5.0,7.83,79.75,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,15,10,buy|discount|ingredients|order|price|reviews,buy|discount|order|price|reviews,BING_STRONG,20,tonicgreens buy ; tonicgreens sale ; tonicgreens price ; tonicgreens discount ; tonicgreens order ; tonicgreens reviews ; tonicgreens supplement dosage ; tonicgreens supplement benefits,HIGH
40,CaviArgan,CaviArgan,koshea76,health-supplement,SUPPLEMENT,87.66,2.0,1.78,79.47,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,13,13,buy|reviews|scam|where to buy,buy|reviews|scam|where to buy,BING_STRONG,20,caviargan ; caviargan reviews ; caviargan cream ; caviargan anti wrinkle cream ; caviargan scam ; caviargan skin ; caviargan serum ; caviargan skincare,HIGH
90,EchoXen,EchoXen,RM7866,health-supplement,SUPPLEMENT,106.93,3.0,9.57,78.99,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,16,16,buy|discount|ingredients|official|reviews,buy|discount|official|reviews,BING_STRONG,20,echoxen ; echoxen reviews ; echoxen official website ; echoxen supplement ; echoxen buy ; echoxen hearing support ; echoxen sale ; echoxen discount,HIGH
790,Lanta Flat Belly Shake,Lanta Flat Belly Shake,mysteryoffers,weight-loss,NONE,144.95,UNKNOWN,UNKNOWN,78.03,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,12,12,buy|discount|official|price|review|scam,buy|discount|official|price|review|scam,BING_STRONG,20,lanta flat belly shake sale ; lanta flat belly shake official ; lanta flat belly shake official website ; lanta flat belly shake buy ; lanta flat belly shake price ; lanta flat belly shake discount ; lanta flat belly shake supplement ; lanta flat belly shake scam,HIGH
636,Neuroxen,Neuroxen,RM7866,health-supplement,SUPPLEMENT,129.39,UNKNOWN,UNKNOWN,77.47,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,15,13,discount|official|order|price,discount|official|order|price,BING_STRONG,20,neuroxen ; neuroxen official website ; neuroxen focus supplement ; neuroxen nootropic supplement ; neuroxen supplement ; neuroxen memory support ; neuroxen sale ; neuroxen discount,HIGH
301,Vigortrix,Promote Vigortrix Now!,MaxiOffer,health-supplement,SUPPLEMENT,157.41,UNKNOWN,UNKNOWN,77.4,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,7,7,complaints|ingredients|official|review|reviews|scam,complaints|official|review|reviews|scam,BING_STRONG,20,vigortrix scam ; vigortrix review ; vigortrix reviews and complaints ; vigortrix canada ; vigortrix ingredients ; vigortrix official website ; vigortrix review scam,HIGH
289,SynaBoost,SynaBoost,synaboost,health-supplement,SUPPLEMENT,206.37,UNKNOWN,UNKNOWN,76.6,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,14,14,amazon|discount|ingredients|official|order|price|reviews,discount|official|order|price|reviews,BING_STRONG,20,synaboost ; synaboost reviews ; synaboost price ; synaboost supplement ; synaboost ingredients ; synaboost sale ; synaboost memory support ; synaboost cognitive supplement,HIGH
381,All Day Slimming Tea,⚡⚡ All Day Slimming Tea - Over $100 Per Sale + Low Refunds,alldayslimtea,weight-loss,NONE,206.37,UNKNOWN,UNKNOWN,76.6,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,16,16,buy|discount|official|order|price|reviews,buy|discount|official|order|price|reviews,BING_STRONG,20,all day slimming tea ; all day slimming tea buy ; all day slimming tea sale ; all day slimming tea reviews ; all day slimming tea price ; all day slimming tea order ; all day slimming tea official ; all day slimming tea supplement,HIGH
615,Glucofreeze,Glucofreeze,freedomhealthllc,health-supplement,SUPPLEMENT,206.37,UNKNOWN,UNKNOWN,76.6,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,15,15,amazon|buy|discount|official|price|reviews,buy|discount|official|price|reviews,BING_STRONG,20,glucofreeze ; glucofreeze official website ; glucofreeze reviews ; glucofreeze supplement ; glucofreeze sale ; glucofreeze price ; glucofreeze buy ; glucofreeze amazon,HIGH
91,Thyrafemme Balance,Thyrafemme Balance - New Japanese-Inspired Thyroid Offer,thyrafemme,health-supplement,SUPPLEMENT,134.22,3.0,11.79,76.17,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,15,7,discount|official|price|review,discount|official|price|review,BING_STRONG,20,thyrafemme balance review ; thyrafemme balance supplement colibrim ; thyrafemme balance official website colibrim ; thyrafemme balance sale colibrim ; thyrafemme balance official mediprime ; thyrafemme balance price colibrim ; thyrafemme balance discount colibrim,HIGH
812,SeroBurn,SeroBurn,seroburn,weight-loss,NONE,111.78,UNKNOWN,UNKNOWN,75.95,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,14,13,buy|discount|official|order|price|reviews,buy|discount|official|order|price|reviews,BING_STRONG,20,seroburn reviews ; seroburn official ; seroburn supplement ; seroburn official website ; seroburn buy ; seroburn discount ; seroburn order ; seroburn for energy,HIGH
634,Ring Quiet,Ring Quiet,superwebj,health-supplement,SUPPLEMENT,189.17,UNKNOWN,UNKNOWN,75.8,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,9,9,buy|official|price|reviews|scam,buy|official|price|reviews|scam,BING_STRONG,20,ring quiet plus ; ring quiet plus reviews ; ring quiet plus official website ; ring quiet plus buy ; ring quiet plus stop ringing ears ; ring quiet plus supplement ; ring quiet plus sale ; ring quiet plus price,HIGH
614,CogniSurge,Promote CogniSurge Now!,zenmavibe,health-supplement,SUPPLEMENT,104.94,UNKNOWN,UNKNOWN,74.13,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,15,15,buy|discount|official|order|price|reviews,buy|discount|official|order|price|reviews,BING_STRONG,20,cognisurge ; cognisurge reviews ; cognisurge official website ; cognisurge supplement ; cognisurge order ; cognisurge official ; cognisurge focus and clarity ; cognisurge memory support,HIGH
1381,CelluFend,Promote CelluFend Now!,KoalaAdvertising,health-supplement,SUPPLEMENT,104.94,UNKNOWN,UNKNOWN,74.13,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,7,6,amazon|buy|official|reviews,buy|official|reviews,BING_STRONG,20,cellufend buy ; cellufend 70% off ; cellufend reviews ; cellufend amazon ; cellufend official website ; cellufend supplement,HIGH
765,Fast Brain Booster,Fast Brain Booster,pegrom,health-supplement,SUPPLEMENT|MEDICAL,56.51,UNKNOWN,UNKNOWN,73.39,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,14,14,buy|discount|official|order|price|side effects,buy|discount|official|order|price,BING_STRONG,20,fast brain booster ; fast brain booster benefits ; fast brain booster buy ; fast brain booster order ; fast brain booster how it works ; fast brain booster side effects ; fast brain booster dosage ; fast brain booster discount,HIGH
1021,Nail Refresh,Nail Refresh,premvitality,health-supplement,SUPPLEMENT,96.6,UNKNOWN,UNKNOWN,73.03,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,7,7,official|review|reviews,official|review|reviews,BING_STRONG,20,nail refresh ; nail refresh reviews ; nail refresh official website ; nail refresh review 2026 ; nail refresh foot fungus oil ; nail refresh official site us ; nail refresh perth street,HIGH
379,AppaNail,AppaNail,appanail,health-supplement,SUPPLEMENT,60.07,UNKNOWN,UNKNOWN,72.89,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,15,14,buy|discount|official|order|reviews,buy|discount|official|order|reviews,BING_STRONG,20,appanail ; appanail fungus ; appanail official website ; appanail buy ; appanail reviews ; appanail order ; appanail sale ; appanail official website nail care solution,HIGH
796,VigoSurge,VigoSurge - Your Next Top ED Offer,vigosurge,health-supplement,SUPPLEMENT,60.07,UNKNOWN,UNKNOWN,72.89,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,13,12,buy|discount|ingredients|official|price|reviews|scam,buy|discount|official|price|reviews|scam,BING_STRONG,20,vigosurge supplement ; vigosurge sale ; vigosurge buy ; vigosurge ingredients benefits ; vigosurge discount ; vigosurge reviews ; vigosurge official website ; vigosurge price,HIGH
803,Ultimate OFF-GRID Generator,Ultimate OFF-GRID Generator - Top Performer for 2023,infiniteensys,survival-preparedness,SURVIVAL_FEAR,42.99,UNKNOWN,UNKNOWN,72.85,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,7,7,free|pdf|review|reviews|scam,review|reviews|scam,BING_STRONG,20,ultimate off-grid generator ; ultimate off-grid generator scam ; ultimate off-grid generator review ; ultimate off-grid generator blueprints ; ultimate off-grid generator pdf free download ; complete ultimate off grid generator ; the ultimate off-grid generator reviews,HIGH
611,Blood Pressure 911,Blood Pressure 911,Phytage,health-supplement,SUPPLEMENT,53.2,UNKNOWN,UNKNOWN,72.29,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,8,8,amazon|buy|official|price|reviews,buy|official|price|reviews,BING_STRONG,20,blood pressure 911 ; blood pressure 911 buy ; blood pressure 911 reviews ; blood pressure 911 official website ; blood pressure 911 supplement ; blood pressure 911 sale ; blood pressure 911 price ; blood pressure 911 amazon,HIGH
369,Primordial Vigor X,Primordial Vigor X,KoalaAdvertising,health-supplement,SUPPLEMENT,52.47,UNKNOWN,UNKNOWN,72.23,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,10,10,buy|discount|official|order|price|reviews,buy|discount|official|order|price|reviews,BING_STRONG,20,primordial vigor x supplement ; primordial vigor x buy ; primordial vigor x official website ; primordial vigor x reviews ; primordial vigor x sale ; primordial vigor x discount ; primordial vigor x price ; primordial vigor x order,HIGH
377,MounjaBoost,Promote MounjaBoost Now!,MaxiOffer,weight-loss,NONE,52.47,UNKNOWN,UNKNOWN,72.23,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,10,10,amazon|complaints|coupon|reviews|scam,complaints|reviews|scam,BING_STRONG,20,mounjaboost ; mounjaboost reviews ; mounjaboost drops ; mounjaboost instructions ; mounjaboost amazon ; mounjaboost weight loss drops ; mounjaboost a scam ; mounjaboost reviews and complaints reddit,HIGH
788,Gluco Ally,Gluco Ally,Asperdigital,health-supplement,SUPPLEMENT,52.47,UNKNOWN,UNKNOWN,72.23,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,5,5,official|review|reviews,official|review|reviews,BING_STRONG,20,gluco ally ; gluco ally reviews ; gluco ally official website ; gluco ally sale ; gluco ally review 2025,HIGH
842,MannaFlux,Promote MannaFlux Now!,zenmavibe,health-supplement,SUPPLEMENT,52.47,UNKNOWN,UNKNOWN,72.23,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,15,15,buy|discount|official|order|price|reviews,buy|discount|official|order|price|reviews,BING_STRONG,20,mannaflux ; mannaflux buy ; mannaflux metabolism booster ; mannaflux supplement ; mannaflux weight management ; mannaflux sale ; mannaflux price ; mannaflux discount,HIGH
12,The Lost SuperFoods,The Lost SuperFoods,lostrec,other,MIRACLE_CLAIM,27.31,19.0,1.7,90.66,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,6,6,pdf|review|scam,review|scam,BING_STRONG,19,the lost superfoods ; the lost superfoods book ; the lost superfoods pdf ; the lost superfoods scam ; the lost superfoods review ; the lost superfoods book download,HIGH
10,Advanced Memory Formula,Advanced Memory Formula,soundview,health-supplement,SUPPLEMENT|MEDICAL,91.44,7.0,6.53,83.32,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,13,13,amazon|does it work|ingredients|reviews|scam|side effects,reviews|scam,BING_STRONG,19,advanced memory formula ; advanced memory formula scam ; advanced memory formula reviews ; advanced memory formula bionutritionals ; advanced memory formula customer reviews ; advanced memory formula supplements - health ; advanced memory formula ingredients ; advanced memory formula does it work,HIGH
92,Idrotherapy,Idrotherapy *GET PAID ON REBILLS EACH MONTH*,koshea76,health-supplement,SUPPLEMENT|MAKE_MONEY,97.2,2.0,1.97,83.08,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,12,12,reviews|scam,reviews|scam,BING_STRONG,19,idrotherapy ; idrotherapy wrinkle reducer ; idrotherapy reviews ; idrotherapy cream ; idrotherapy canada ; idrotherapy skin cream ; idrotherapy chemist warehouse ; idrotherapy anti aging cream australia,HIGH
53,Pep Tonic,Pep Tonic,soundview,health-supplement,SUPPLEMENT,47.81,7.0,7.31,79.56,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,6,6,complaints|reviews,complaints|reviews,BING_STRONG,19,pep tonic reviews ; pep tonic meaning ; pep tonic reviews and complaints ; what is pep tonic ; advanced bionutritionals pep tonic ; advanced bionutritionals pep tonic reviews,HIGH
43,Tube Magic,Tube Magic - AI Tools For Growing on YouTube,tubemagic,ai-software,NONE,265.11,1.0,8.94,75.71,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,14,14,free|price|reviews,price|reviews,BING_STRONG,19,tube magic ; tube magic ai ; tube magic free trial ; tube magic reviews ; tube magic free alternative ; tube magic free ; tube magic niche ; tube magic alternative,HIGH
378,The Ultimate Energizer,The Ultimate Energizer - Insane EPCs and Conversions !,tuenergizer,other,NONE,51.59,UNKNOWN,UNKNOWN,73.74,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,12,12,pdf|review|scam,review|scam,BING_STRONG,19,the ultimate energizer generator kit ; the ultimate energizer generator pdf ; the ultimate energizer generator scam ; the ultimate energizer generator plans ; the ultimate energizer generator video ; the ultimate energizer generator review ; the ultimate energizer generator results ; the ultimate energizer generator blueprint,HIGH
618,Pineal 10x,Pineal 10x,midasman88,health-supplement,SUPPLEMENT|MIRACLE_CLAIM,177.94,UNKNOWN,UNKNOWN,77.4,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,4,4,official|reviews,official|reviews,BING_STRONG,18,pineal 10x ; pineal 10x reviews ; pineal 10x supplements - health ; pineal 10x official website,HIGH
303,Healthy Heart Solution Kit,Healthy Heart Solution Kit,BartonPublishing,other,NONE,18.89,18.0,13.58,76.06,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,19,5,reviews|scam,reviews|scam,BING_STRONG,18,healthy heart solution kit reviews ; healthy heart solution kit ; healthy heart solution kit scam ; healthy heart solution kit by joe barton ; barton healthy heart solution kit,HIGH
14,Home Doctor,Home Doctor – BRAND NEW!,homedoctor,other,NONE,26.83,12.0,2.81,83.91,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,24,24,reviews,reviews,BING_MODERATE,13,home doctor ; home doctors near me ; home doctor service ; home doctors llc ; home doctor book ; home doctor visits ; home doctor icare ; home doctor of america,HIGH
628,Gluco Care,Gluco Care,LongLife_Supplements,health-supplement,SUPPLEMENT,206.37,UNKNOWN,UNKNOWN,76.6,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,16,8,ingredients|reviews,reviews,BING_MODERATE,11,gluco care supplement ; gluco care tablets ; gluco care capsules ; gluco care benefits ; gluco care reviews ; gluco care natural ingredients ; gluco care sos ; gluco care pen needles,HIGH
797,Genesis Revival,Promote Genesis Revival Now!,zenmavibe,health-supplement,SUPPLEMENT,104.94,UNKNOWN,UNKNOWN,74.13,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,8,7,review,review,BING_MODERATE,11,genesis revival ; genesis revival tour ; genesis revival songs ; genesis revival review ; genesis revival meaning ; genesis revival music style ; genesis revival band,HIGH
1,Joseph’s Well,Joseph’s Well – Blockbuster Offer From Top Diamond Vendor,megadrought,other,NONE,76.36,16.0,5.41,95.66,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,5,5,reviews,reviews,BING_MODERATE,10,joseph's well ; joseph's well leeds ; joseph's well system ; joseph's well reviews ; joseph's well system reviews,HIGH
25,Anti-Looter Kit,Anti-Looter Kit - BRAND NEW!,antilooterkit,health-supplement,SUPPLEMENT|SURVIVAL_FEAR,53.01,18.0,3.55,90.75,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,3,3,review,review,BING_MODERATE,10,anti-looter kit ; anti-looter kit review ; anti looter kit,HIGH
45,David’s Shield,David’s Shield – New High-Conv VSL (2X CVR!) | $5M+ In Sales,blackoutusa,other,NONE,44.71,20.0,9.89,90.44,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,3,3,reviews,reviews,BING_MODERATE,10,david's shield ; david's shield reviews ; blast proof david’s shield reviews,HIGH
66,Tesla MedBed X,Tesla MedBed X,TeslaMedbedX,health-supplement,SUPPLEMENT,928.67,UNKNOWN,10.8,81.32,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,3,3,reviews,reviews,BING_MODERATE,10,tesla medbed x ; tesla medbed x reviews ; tesla medbed x deliverable,HIGH
38,Advanced Collagen Plus,Earn 60% Commission Promoting Advanced Collagen Plus!,soundview,health-supplement,SUPPLEMENT|MAKE_MONEY,116.97,3.0,5.5,80.85,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,6,4,reviews,reviews,BING_MODERATE,10,advanced collagen plus ; advanced collagen plus reviews ; advanced collagen plus powder ; pura collagen glow+ advanced collagen plus,HIGH
612,VitaFirm,VitaFirm,freedomhealthllc,health-supplement,SUPPLEMENT,223.57,UNKNOWN,UNKNOWN,77.4,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,6,3,official,official,BING_MODERATE,10,vitafirm official website ; vitafirm logo ; vitafirm sheep,HIGH
123,TeslaCare,TeslaCare,Tesla14,health-supplement,SUPPLEMENT,350.27,UNKNOWN,UNKNOWN,76.6,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,13,3,review,review,BING_MODERATE,10,teslacare innovations ; teslacare review ; teslacare wand,HIGH
825,Tesla Grounding,Tesla Grounding,Tesla14,health-supplement,SUPPLEMENT,280.07,UNKNOWN,UNKNOWN,76.6,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,4,4,reviews,reviews,BING_MODERATE,10,tesla grounding ; tesla grounding mat ; tesla grounding reviews ; tesla grounding deliverable,HIGH
844,The Lotto Master Key,The Lotto Master Key,lottokey,education-courses,NONE,134.6,UNKNOWN,UNKNOWN,75.36,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,16,3,review,review,BING_MODERATE,10,the lotto master key ; the lotto master key login ; the lotto master key review,HIGH
703,Revanail,Promote Revanail Now!,KoalaAdvertising,health-supplement,SUPPLEMENT,104.94,UNKNOWN,UNKNOWN,74.13,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,8,5,official,official,BING_MODERATE,10,revanail official ; revanail 70% off ; revanail official website ; revanail nail fungus ; revanail official website diet4uonline,HIGH
136,Clearing Academy,Clearing Academy,Statbrook,education-courses,NONE,29.72,5.0,6.94,73.7,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,4,3,reviews,reviews,BING_MODERATE,10,clearing academy ; clearing academy login ; clearing academy reviews,HIGH
88,Lost Frontier Handbook,Lost Frontier Handbook,frontbook,other,MIRACLE_CLAIM,25.59,3.0,1.5,73.68,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,4,4,pdf|scam,scam,BING_MODERATE,10,lost frontier handbook ; the lost frontier handbook pdf ; the lost frontier handbook suzanne sherman ; the lost frontier handbook scam,HIGH
54,Goliath XL 10,Goliath XL 10,KoalaAdvertising,health-supplement,SUPPLEMENT,122.11,7.0,8.15,84.35,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,8,2,reviews,reviews,BING_MODERATE,9,goliath xl 10 ; goliath xl 10 reviews,HIGH
8,CircO2 Nitric Oxide Booster,Earn 60% Commission Promoting CircO2 Nitric Oxide Booster,soundview,health-supplement,SUPPLEMENT|MAKE_MONEY,86.88,8.0,6.72,84.04,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,16,2,review,review,BING_MODERATE,9,circo2 nitric oxide booster review ; circo2 nitric oxide booster supplements,HIGH
50,Remixable,Remixable - Founder Edition,remixable,ai-software,NONE,177.54,10.0,22.85,75.41,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,11,2,review,review,BING_MODERATE,9,remixable ; remixable review,HIGH
13,The Encyclopedia of Power Foods,The Encyclopedia of Power Foods- Latest 2025/6!,dailyhealth,other,NONE,29.28,16.0,8.97,83.55,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,15,2,NONE,NONE,BING_WEAK,4,the encyclopedia of power foods ; the encyclopedia of power foods- latest 2024,MEDIUM
61,TPP System,TPP System,nemorauserr,education-courses,NONE,3405.52,2.0,4.33,82.74,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,14,13,NONE,NONE,BING_WEAK,4,tpp system ; tpp system online ; tpp system online login ; tpp system requirements ; tpp system online repeat prescriptions ; tpp system online login page ; tpp system online patient login ; tpp system online login troubleshooting,MEDIUM
44,Fearless Phone Fanatic,Fearless Phone Fanatic (For Cold Calling),dezatell,other,NONE,21.73,37.0,8.22,81.23,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,1,1,NONE,NONE,BING_WEAK,4,fearless phone fanatic,MEDIUM
5,The Self-Sufficient Backyard,NEW: The Self-Sufficient Backyard,sbackyard,survival-preparedness,SURVIVAL_FEAR,27.18,9.0,1.28,80.64,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,6,5,pdf,NONE,BING_WEAK,4,the self sufficient backyard book ; the self sufficient backyard ; the self-sufficient backyard pdf ; the self-sufficient backyard ; the self sufficient backyard pdf,MEDIUM
39,Midas Manifestation System,Midas Manifestation System,midasman88,spirituality-manifest,MIRACLE_CLAIM,116.24,3.0,9.26,80.44,Bing autosuggest (api.bing.com/osjson.aspx),Bing (native),2026-08-24,1,1,NONE,NONE,BING_WEAK,4,midas manifestation system,MEDIUM
