rank,product_name,vendor,product_type,derived_niche,price_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,phase2_score,evidence_level,preliminary_risk_flag,funnel_economics_flag,why_beginner_friendly,main_concern
11,The 5 Foot Farm: 80% Commissions and Recurring Upsell,FiveFootFarm,E-books,other,60.39,17.20,12.00,9.29,Promote now,81.57,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $17.20 net/sale is meaningful without high-ticket pricing,none material at this stage
12,Tufting Mastery Class | How To Make Rugs,kramis_teppich_design,Member area and video courses,education-courses,99.44,42.30,4.00,2.57,Promote now,81.02,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $42.30 net/sale is meaningful without high-ticket pricing,none material at this stage
13,Idrotherapy *GET PAID ON REBILLS EACH MONTH*,koshea76,Deliverable,health-supplement,119.98,97.20,2.00,1.97,Promote now,83.28,EVIDENCE_RICH,MEDIUM,NORMAL,"open promotion (no approval gate); medium risk, but claims are checkable; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $97.20 net/sale is meaningful without high-ticket pricing",weak 2% cart conversion
14,Promote the Ultimate Digital Marketing Guide eBook now!,Fitlifesolutions,E-books,other,37.00,21.59,16.00,11.29,Promote now,78.93,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $21.59 net/sale is meaningful without high-ticket pricing,none material at this stage
15,CaviArgan,koshea76,Deliverable,health-supplement,114.02,87.66,2.00,1.78,Promote now,81.88,EVIDENCE_RICH,MEDIUM,NORMAL,"open promotion (no approval gate); medium risk, but claims are checkable; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $87.66 net/sale is meaningful without high-ticket pricing",weak 2% cart conversion
16,Healthy Heart Solution Kit,BartonPublishing,E-books,other,55.55,18.89,18.00,13.58,Promote now,77.42,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $18.89 net/sale is meaningful without high-ticket pricing,none material at this stage
17,Clearing Academy,Statbrook,Member area and video courses,education-courses,54.82,29.72,5.00,6.94,Promote now,76.65,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $29.72 net/sale is meaningful without high-ticket pricing,none material at this stage
18,Backlink Bundle – Best SEO Service,praneet_brar,Remote service provided electronically,other,249.00,81.34,15.00,52.78,Promote now,76.58,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $81.34 net/sale is meaningful without high-ticket pricing,high 52.78% cancellation
19,Cashflow Secrets,Moneyripples,Member area and video courses,education-courses,104.85,36.51,23.00,48.76,Promote now,76.45,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $36.51 net/sale is meaningful without high-ticket pricing,high 48.76% cancellation
20,NEW: The Self-Sufficient Backyard,sbackyard,Book (printed),survival-preparedness,51.80,27.18,9.00,1.28,Promote now,80.31,EVIDENCE_RICH,MEDIUM,NORMAL,"open promotion (no approval gate); medium risk, but claims are checkable; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $27.18 net/sale is meaningful without high-ticket pricing",none material at this stage
21,Get Paid To Do Simple Writing Jobs Online,socialpaid,Member area and video courses,education-courses,48.95,82.97,9.00,19.99,Promote now,75.66,EVIDENCE_RICH,LOW,VERY_STRONG,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; $82.97 net/sale is meaningful without high-ticket pricing,"high 19.99% cancellation; net/price 1.70x - payout likely funnel-wide, not front-end"
22,TPP System,nemorauserr,Member area and video courses,education-courses,3131.60,3405.52,2.00,4.33,Promote now,75.5,EVIDENCE_RICH,LOW,STRONG,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; $3405.52 net/sale is meaningful without high-ticket pricing,weak 2% cart conversion; high ticket - cold search traffic converts poorly
23,Ultimate Dynamic Personal Budget in Google Sheets,FinSavvyDesigns,Downloads,other,43.23,28.30,14.00,16.89,Promote now,75.46,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $28.30 net/sale is meaningful without high-ticket pricing,high 16.89% cancellation
24,AI Profit Sniper,aiprofitsniper,Software,ai-software,65.20,27.35,14.00,27.21,Promote now,75.33,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $27.35 net/sale is meaningful without high-ticket pricing,high 27.21% cancellation
25,Remixable - Founder Edition,remixable,Software,ai-software,512.01,177.54,10.00,22.85,Promote now,74.0,EVIDENCE_RICH,LOW,NORMAL,open promotion (no approval gate); low preliminary compliance risk; has published conversion + cancellation data; payout matches front-end price (no funnel dependence); $177.54 net/sale is meaningful without high-ticket pricing,high 22.85% cancellation
