rank,product,vendor,best_keyword,keyword_type,search_demand,demand_source,bing_serp_score,commercial_intent,product_fit,affiliate_economics,vendor_serp_control,preliminary_risk,overall_score,main_reason,main_problem,confidence
11,Anti-Looter Kit - BRAND NEW!,antilooterkit,anti looter kit,branded,20/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",14/25 (GOOGLE PROXY - Bing unmeasurable),16/20,14/15,10/10,AMBIGUOUS,MEDIUM,38,"Best risk-adjusted economics of any physical product in the queue - $53.01 net, 18% cart conversion, 3.55% cancellation - with a verifiable ex-CIA creator and a CE-certified physical product.","20/mo total branded demand, and no qualifier (""review"", ""price"", ""alternatives"", ""worth it"") registers any volume at all. There is no search market to build a site against.",HIGH
12,Get Paid To Do Simple Writing Jobs Online,socialpaid,paid online writing jobs review,branded,400/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",12/25 (GOOGLE PROXY - Bing unmeasurable),6/20,10/15,5/10,NOT FOUND,HIGH,36,"Measurable demand at 320/mo brand plus 70/mo review, $2.45 CPC.","The dominant search intent is scam-verification, not purchase - four of the eight page-one results are people asking whether it is a scam or stating that it is. 19.99% cancellation independently corroborates buyer regret.",HIGH
13,Cashflow Secrets,Moneyripples,money ripples,branded,100/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",12/25 (GOOGLE PROXY - Bing unmeasurable),12/20,8/15,1/10,UNKNOWN,HIGH,36,"Vendor brand ""money ripples"" carries 90/mo.",48.76% cancellation - almost half of all sales are refunded. No affiliate economics survive that.,LOW
14,Shifting Vibrations - Proven Digital Manifestation Offer,astral43,shifting vibrations,branded,50/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",12/25 (GOOGLE PROXY - Bing unmeasurable),8/20,8/15,3/10,UNKNOWN,HIGH,24,50/mo measured branded demand.,24.19% cancellation - roughly one in four buyers refunds. Manifestation claims are not substantiable.,LOW
15,Online Kirtan and Harmonium Course,PeaceYogaBerlin,harmonium course,non-branded,10/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",12/25 (GOOGLE PROXY - Bing unmeasurable),10/20,11/15,5/10,UNKNOWN,LOW,22,$61.95 net and 3.81% cancellation.,10/mo demand. Requires vendor approval before promotion.,MEDIUM
16,Clearing Academy,Statbrook,clearing academy,branded,40/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",12/25 (GOOGLE PROXY - Bing unmeasurable),10/20,9/15,6/10,UNKNOWN,MEDIUM,21,Stable 40/mo branded demand and 85% commission.,"40/mo is far too thin, and ""clearing academy"" is a generic phrase used by unrelated education businesses.",LOW
17,Remixable - Founder Edition,remixable,remixable,branded,30/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",12/25 (GOOGLE PROXY - Bing unmeasurable),12/20,10/15,3/10,UNKNOWN,HIGH,21,$177.54 net per sale.,30/mo combined demand and 22.85% cancellation.,LOW
18,The Number 1 Serger and Overlocker Online Sewing Course,creatory,overlocker course,non-branded,10/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",12/25 (GOOGLE PROXY - Bing unmeasurable),10/20,10/15,5/10,UNKNOWN,MEDIUM,21,45% cart conversion - the highest in the queue - at 3.30% cancellation.,"""overlocker course"" is 10/mo and ""serger course"" returns no data. Also requires vendor approval before promotion.",MEDIUM
19,The Encyclopedia of Power Foods- Latest 2025/6!,dailyhealth,encyclopedia of power foods,branded,UNKNOWN,"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",12/25 (GOOGLE PROXY - Bing unmeasurable),8/20,10/15,7/10,UNKNOWN,MEDIUM,17,16% cart conversion and a weak SERP observed in Phase 3.,"Neither the brand nor its review term registers ANY search volume. Phase 3 also found related searches were dominated by ""pdf"".",HIGH
20,Tufting Mastery Class | How To Make Rugs,kramis_teppich_design,tufting mastery class,branded,UNKNOWN,"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",12/25 (GOOGLE PROXY - Bing unmeasurable),8/20,9/15,5/10,UNKNOWN,MEDIUM,14,2.57% cancellation and $42.30 net.,No measurable demand and 4% cart conversion. Phase 3 found the niche owned by supply retailers with real inventory.,HIGH
21,Fearless Phone Fanatic (For Cold Calling),dezatell,fearless phone fanatic,branded,UNKNOWN,"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",12/25 (GOOGLE PROXY - Bing unmeasurable),8/20,8/15,6/10,UNKNOWN,MEDIUM,14,37% cart conversion.,No measurable demand for the brand or its review term.,HIGH
22,The 5 Foot Farm: 80% Commissions and Recurring Upsell,FiveFootFarm,5 foot farm,branded,UNKNOWN,"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",12/25 (GOOGLE PROXY - Bing unmeasurable),8/20,8/15,4/10,UNKNOWN,MEDIUM,12,80% commission and 12% cart conversion.,No measurable demand on either spelling of the brand.,HIGH
23,Midas Manifestation System,midasman88,midas manifestation,branded,40/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",12/25 (GOOGLE PROXY - Bing unmeasurable),10/20,9/15,6/10,UNKNOWN,HIGH,11,40/mo combined branded demand and $116.24 net.,"""Manifestation"" claims cannot be evidenced; 3% cart conversion.",LOW
24,AI Profit Sniper,aiprofitsniper,ai profit sniper,branded,UNKNOWN,"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",10/25 (GOOGLE PROXY - Bing unmeasurable),8/20,8/15,3/10,UNKNOWN,HIGH,9,14% cart conversion.,No measurable demand and 27.21% cancellation.,HIGH
25,TPP System,nemorauserr,tpp system,branded,20/mo (branded cluster),"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",10/25 (GOOGLE PROXY - Bing unmeasurable),8/20,6/15,5/10,UNKNOWN,HIGH,5,"$3,405.52 net per sale is the largest payout in the dataset.","20/mo demand, 2% cart conversion, and a $3,131.60 price point that no cold search visitor converts on. ""TPP"" is also a widely used acronym.",LOW
26,Unlock Earnings! Promote PinealXT!,Nutraville,pinealxt,branded,UNKNOWN,"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",8/25 (GOOGLE PROXY - Bing unmeasurable),8/20,8/15,8/10,UNKNOWN,HIGH,2,$158.86 net per sale.,"No measurable demand for the brand or its review term. Pineal ""third eye activation"" claims are not substantiable.",HIGH
27,Promote Pineal Guardian Now!,Nutraville,pineal guardian,branded,UNKNOWN,"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",8/25 (GOOGLE PROXY - Bing unmeasurable),8/20,8/15,8/10,UNKNOWN,HIGH,2,$235.62 net per sale - second-largest payout in the queue.,"No measurable demand. Phase 3 found the SERP saturated with near-duplicate ""official site"" clones rather than reviews.",HIGH
28,Promote HydroLean XT Gold Now!,zenmavibe,hydrolean xt,branded,UNKNOWN,"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",8/25 (GOOGLE PROXY - Bing unmeasurable),8/20,8/15,8/10,UNKNOWN,HIGH,2,$87.17 net per sale.,No measurable demand. Weight-loss claims are the most heavily policed advertising category there is.,HIGH
29,81 % Commission on US Immigration Survival PRO Bundle,IsMaria,us immigration survival pro,branded,UNKNOWN,"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",5/25 (GOOGLE PROXY - Bing unmeasurable),8/20,8/15,7/10,UNKNOWN,HIGH,0,81% commission and 13% cart conversion.,"No measurable demand, and the surrounding space is owned by US government domains. Immigration advice carries real consequences for readers if it is wrong.",HIGH
30,Help Others Overcome Their Acid Refluy | 45% Commission,Refluxsummit,reflux summit,branded,UNKNOWN,"Google Ads Keyword Planner via DataForSEO, US, en, 12-mo avg, 2026-08-24",5/25 (GOOGLE PROXY - Bing unmeasurable),8/20,8/15,6/10,UNKNOWN,HIGH,0,$49.43 net per sale.,No measurable branded demand and a YMYL medical space owned by the largest health publishers in the world.,HIGH
